Artist                                     ,Song                                                        ,Other Games
SHK                                        ,Last Rebirth                                                ,
SHK                                        ,Super Capriccio (version 2.00+)                             ,
Memme                                      ,Hellfire                                                    ,"Pump It Up XX, Chrono Circle"
Memme                                      ,Tritium (version 2.03+)                                     ,
HyuN feat. LyuU                            ,Cross Over (version 2.04+)                                  ,"Pump It Up XX, Chrono Circle, Tap Tap Reloaded"
Nato feat. Skizzo                          ,God Mode                                                    ,
Nato                                       ,Shub Niggurath (version 1.06+)                              ,
Doin                                       ,Further                                                     ,
Doin                                       ,The Quick Brown Fox Jumps Over the Lazy Dog (version 2.05+) ,
Tatsh feat. Chisa Uezono                   ,Silver Beat (version 2.03+)                                 ,"Pump It Up XX, Chrono Circle"
Lunatic Sounds                             ,Bring Back The Beat                                         ,"Pump It Up XX, Chrono Circle"
Lunatic Sounds                             ,Break Out (version 2.05+)                                   ,
MAX                                        ,Sarabande                                                   ,"Pump It Up XX, Chrono Circle"
MAX                                        ,Kasou Shinja (version 1.02+)                                ,
MAX                                        ,Overblow 2 (version 1.07+)                                  ,
Mzet:-P                                    ,Passing Rider (version 2.03+)                               ,
Mzet:-P                                    ,Arcane Force                                                ,
DM Ashura                                  ,Allegro Furioso (version 1.04+)                             ,
void feat. Kana                            ,Utsushiyo No Kaze                                           ,"Pump It Up XX, Chrono Circle"
void                                       ,Anguished Unmaking                                          ,
MAZO                                       ,Hey U                                                       ,
Jehezukiel feat. Ruriling                  ,Twist of Fate                                               ,
Quree                                      ,HTTP                                                        ,
Skizzo                                     ,Up & Up (produced by AWAL) [version 2.02.0+]                ,
Neutral Moon                               ,Travel to Future [version 2.02.0+]                          ,
5argon                                     ,Rave'till the Earth's End [version 2.01.0+]                 ,
Big Bang                                   ,Bang Bang Bang                                              ,SuperStar YG
GFriend                                    ,Me Gustas Tu                                                ,
iKON                                       ,Rhythm Ta                                                   ,
Dreamcatcher                               ,Chase Me                                                    ,"Pump It Up XX, Pump It Up Phoenix"
Produce 101                                ,Pick Me [version 2.01.0+]                                   ,
Block B                                    ,Jackpot                                                     ,
2NE1                                       ,Gotta Be You [version 1.08.0+]                              ,
BLACKPINK                                  ,Boombayah                                                   ,"Just Dance 2022, Just Dance Now; Japanese Version in DanceRush Stardom"
Big Bang                                   ,Sober                                                       ,SuperStar YG
EXID                                       ,Up & Down                                                   ,
Dreamcatcher                               ,Good Night                                                  ,"Pump It Up XX, Pump It Up Phoenix"
Mamamoo                                    ,You're the Best                                             ,
T-ara                                      ,Number Nine                                                 ,
Outsider                                   ,Acquaintance                                                ,
Wanna One                                  ,Energetic                                                   ,
Wanna One                                  ,Beautiful                                                   ,
Produce 101                                ,Pick Me                                                     ,
Winner                                     ,Really Really                                               ,
TatshMusicCircle                           ,Moon Light Dance                                            ,
SID-Sound                                  ,Step                                                        ,
Vospi                                      ,Just Kiddin                                                 ,
Yassi Pressman feat. Nadine Lustre         ,Hush (exclusive for philippine version) [version 1.03.0+]   ,"Pump It Up XX, Pump It Up Phoenix"
Dasu feat. Kagamine Len                    ,Nakakapagpabagabag                                          ,
DJ Counterforce                            ,Heart Attack                                                ,
Beautiful Day                              ,V3                                                          ,O2Jam
Brandy                                     ,Cross Time                                                  ,
Brandy                                     ,The Festival of Ghost (Sneak) [version 2.01.0+]             ,
ESTi                                       ,Helix [version 1.03.0+]                                     ,
M2U                                        ,Hyperion [version 1.03.0+]                                  ,
Nato                                       ,Start on Red                                                ,
r300k                                      ,Time Attack <Blue> [version 1.09.0+]                        ,
SID-Sound                                  ,Magical Vacation                                            ,
Aragon                                     ,Visual Dream II (In Fiction)                                ,
SHK                                        ,Death Moon                                                  ,
Warak                                      ,Super Stylin'                                               ,
Warak                                      ,Christmas Memories                                          ,
AmamoriP                                   ,Keep On!                                                    ,
ATAS                                       ,Asterios -ReEntry-                                          ,
KIEN                                       ,Le Grand Bleu                                               ,
Lunatic Sounds                             ,Infinity                                                    ,
P4Koo                                      ,Gothic Resonance                                            ,
Sany-On                                    ,Bedlam                                                      ,
Streme Reverie                             ,A Site de la Rue                                            ,
Transin                                    ,Clue                                                        ,
Archefluxx                                 ,Redline                                                     ,Neon FM
Triplestar                                 ,Donatello [version 2.02.0+]                                 ,Neon FM
Archefluxx                                 ,Kill Them! [version 1.09.0+]                                ,Pump It Up Infinity
Rainbowdragoneyes                          ,Seize My Day                                                ,Pump It Up XX
DM Ashura                                  ,Fallen Angel [version 1.08.0+]                              ,
Blackpink                                  ,As If It's Your Last (cancelled song)                       ,
Archefluxx                                 ,Systemization (/DJS\ Mix) (cancelled song)                  ,
M2U                                        ,Nemesis                                                     ,
M2U                                        ,Katkoi                                                      ,
Warak                                      ,Latino Virus                                                ,
Warak                                      ,Elysium                                                     ,
Nato                                       ,Yog Sothoth                                                 ,
Nato                                       ,Silhouette Effect                                           ,
Memme                                      ,Chinese Restaurant                                          ,
Memme                                      ,Avalanche                                                   ,
Memme                                      ,Force of Ra                                                 ,
MAX                                        ,Requiem                                                     ,
MAX                                        ,U Got Me Crazy                                              ,
MAX                                        ,B2                                                          ,
Paul Bazooka                               ,Meteorize                                                   ,
Paul Bazooka                               ,Mad5cience                                                  ,
Gentle Stick                               ,Hestia                                                      ,
Gentle Stick                               ,Amphitryon                                                  ,
Doin                                       ,Leakage Voltage                                             ,
Doin                                       ,Removable Disk0                                             ,
SHK                                        ,Super Fantasy                                               ,
SHK                                        ,Violet Perfume                                              ,
Yahpp                                      ,Red Swan                                                    ,
Yahpp                                      ,Hyacinth                                                    ,
Yahpp                                      ,Blaze Emotion (Band Version)                                ,
SLAM                                       ,1950                                                        ,
MAX                                        ,Sugar Conspiracy Theory                                     ,
DM Ashura                                  ,Allegro PIU Mosso                                           ,
DM Ashura                                  ,Annihilator Method                                          ,
DM Ashura feat. Skizzo & Hanna Stockzell   ,Move That Body!                                             ,
SynthWulf                                  ,Point Zero One                                              ,
Cashew                                     ,Red Snow                                                    ,
Cashew                                     ,Campanella                                                  ,
CYO Style & Henohenomoheji                 ,You Again My Love                                           ,
CYO Style                                  ,Robot Battle                                                ,
MAX                                        ,Reminiscence                                                ,
MAX                                        ,Moment Day                                                  ,
MAZO                                       ,Break It Down                                               ,
MAX                                        ,Hypercube                                                   ,
SHK                                        ,Like Me                                                     ,
DM Ashura                                  ,Elise                                                       ,
BanYa & DM Ashura                          ,Ignis Fatuus                                                ,
BanYa & Cranky                             ,Love Is a Danger Zone (Cranky Mix)                          ,
BanYa & SynthWulf                          ,Hypnosis (SynthWulf Mix)                                    ,
Doin                                       ,FFF                                                         ,
SHK                                        ,Unique                                                      ,
MAX                                        ,Accident                                                    ,
MAX                                        ,D                                                           ,
MAX                                        ,U Got Me Rocking                                            ,
Yak_Won                                    ,Lucid (PIU Edit)                                            ,
SHK                                        ,Log In                                                      ,
Yak_Won                                    ,Windmill                                                    ,
SHK                                        ,Follow Me                                                   ,
SID-Sound                                  ,Yeo Rae A                                                   ,
SQUAR                                      ,Mental Rider                                                ,
Doin                                       ,Cleaner                                                     ,
Doin                                       ,Interference                                                ,
SHK                                        ,Reality                                                     ,
SHK                                        ,Take Out                                                    ,
MAX & Rorychesell                          ,Butterfly                                                   ,
MAX                                        ,Overblow                                                    ,
MAX                                        ,We Got 2 Know                                               ,
BanYa Production                           ,Hungarian Dance V                                           ,
BanYa Production                           ,The Devil                                                   ,
SHK                                        ,Native                                                      ,
V.A.                                       ,Pavane                                                      ,
Doin                                       ,Pine Nut                                                    ,
Doin                                       ,ASDF                                                        ,
MAX & Seorryang                            ,Jonathan's Dream                                            ,
Yahpp                                      ,X-Tree                                                      ,
Yahpp                                      ,Sorceress Elise                                             ,
msgoon                                     ,Betrayer -Act 2-                                            ,
MAX                                        ,U Got 2 Know                                                ,
SHK                                        ,Destination                                                 ,
Doin                                       ,Vacuum                                                      ,
BanYa Production                           ,Do It -Reggae Style-                                        ,
BanYa Production                           ,Xenesis                                                     ,
BanYa Production                           ,Arirang                                                     ,
BanYa Production                           ,Tek -Club Copenhagen-                                       ,
BanYa Production                           ,Hello William                                               ,
BanYa Production                           ,Turkey March -Minimal Tunes-                                ,
BanYa Production                           ,Get Up (and Go!)                                            ,
BanYa Production                           ,Phantom -Intermezzo-                                        ,
BanYa Production                           ,Mission Possible -Blowback-                                 ,
BanYa Production                           ,Pumping Jumping                                             ,
Doin                                       ,Tepris                                                      ,
Doin                                       ,Napalm                                                      ,
Yahpp                                      ,Blaze Emotion                                               ,
Yahpp                                      ,Cannon X.1                                                  ,
Yahpp                                      ,Chopsticks Challenge                                        ,
BanYa Production                           ,The People Didn't Know                                      ,
BanYa Production                           ,DJ Otada                                                    ,
BanYa Production                           ,K.O.A.: Alice in Wonderworld                                ,
BanYa Production                           ,My Dreams                                                   ,
BanYa Production                           ,Toccata                                                     ,
Yahpp                                      ,Final Audition Episode 2-X                                  ,
Yahpp                                      ,Pumptris 8bit ver.                                          ,
Yahpp                                      ,Solitary 1.5                                                ,
BanYa Production                           ,Beat the Ghost                                              ,
BanYa Production                           ,Caprice of Otada                                            ,
BanYa Production                           ,Money                                                       ,
BanYa Production                           ,Monkey Fingers 2                                            ,
Yahpp                                      ,Faster Z                                                    ,
Yahpp                                      ,Pumptris Quattro                                            ,
BanYa Production                           ,Guitar Man                                                  ,
BanYa Production                           ,Higgledy Piggledy                                           ,
BanYa Production                           ,Jam O' Beat                                                 ,
Yahpp                                      ,Witch Doctor #1                                             ,
Yahpp                                      ,Arch of Darkness                                            ,
Yahpp                                      ,Chimera                                                     ,
BanYa Production                           ,2006 Love Song                                              ,
BanYa Production                           ,Do You Know That -Old School-                               ,
BanYa Production                           ,Gun Rock                                                    ,
BanYa Production                           ,Bullfighter's Song                                          ,
BanYa Production                           ,Ugly Dee                                                    ,
Yahpp                                      ,Final Audition Episode 2-1                                  ,
Yahpp                                      ,Final Audition Episode 2-2                                  ,
BanYa                                      ,Beat of the War 2                                           ,
BanYa                                      ,Moonlight                                                   ,
BanYa                                      ,Witch Doctor                                                ,
BanYa                                      ,Love Is a Danger Zone 2                                     ,
BanYa                                      ,Phantom                                                     ,
BanYa                                      ,Papa Gonzales                                               ,
BanYa                                      ,Love Is a Danger Zone 2 (D&G Version)                       ,
BanYa                                      ,J Bong                                                      ,
BanYa                                      ,Hi-Bi                                                       ,
BanYa                                      ,Solitary 2                                                  ,
BanYa                                      ,Canon D                                                     ,
BanYa                                      ,Final Audition 3 UF                                         ,
BanYa                                      ,Naissance 2                                                 ,
BanYa                                      ,Monkey Fingers                                              ,
BanYa                                      ,Blazing                                                     ,
BanYa                                      ,Pump Me Amadeus                                             ,
BanYa                                      ,X-Treme                                                     ,
BanYa                                      ,Get Up                                                      ,
BanYa                                      ,Bee                                                         ,
BanYa                                      ,D Gang                                                      ,
BanYa                                      ,Hello                                                       ,
BanYa                                      ,Beat of the War                                             ,
BanYa                                      ,Come to Me                                                  ,
BanYa                                      ,Dr. M                                                       ,
BanYa                                      ,Emperor                                                     ,
BanYa                                      ,Get Your Groove On                                          ,
BanYa                                      ,Love Is a Danger Zone                                       ,
BanYa                                      ,Maria                                                       ,
BanYa                                      ,Mission Possible                                            ,
BanYa                                      ,My Way                                                      ,
BanYa                                      ,Point Break                                                 ,
BanYa                                      ,Street Show Down                                            ,
BanYa                                      ,Top City                                                    ,
BanYa                                      ,Winter                                                      ,
BanYa                                      ,Will-o'-the-wisp                                            ,
BanYa                                      ,Till the End of Time                                        ,
BanYa                                      ,Oy Oy Oy                                                    ,
BanYa                                      ,We Will Meet Again                                          ,
BanYa                                      ,Miss's Story                                                ,
BanYa                                      ,Set Me Up                                                   ,
BanYa                                      ,Dance with Me                                               ,
BanYa                                      ,Vook                                                        ,
BanYa                                      ,Csikos Post                                                 ,
BanYa                                      ,Final Audition Episode 1                                    ,
BanYa                                      ,Chicken Wing                                                ,
BanYa                                      ,Pump Jump                                                   ,
BanYa                                      ,N                                                           ,
BanYa                                      ,Rolling Christmas                                           ,
BanYa                                      ,All I Want for Xmas                                         ,
BanYa                                      ,Beethoven Virus                                             ,
BanYa                                      ,Oh! Rosa                                                    ,
BanYa                                      ,First Love                                                  ,
BanYa                                      ,Betrayer                                                    ,
BanYa                                      ,Solitary                                                    ,
BanYa                                      ,Mr. Larpus                                                  ,
BanYa                                      ,Final Audition 2                                            ,
BanYa                                      ,Naissance                                                   ,
BanYa                                      ,Nightmare                                                   ,
BanYa                                      ,Close Your Eyes                                             ,
BanYa                                      ,Free Style                                                  ,
BanYa                                      ,Midnight Blue                                               ,
BanYa                                      ,She Likes Pizza                                             ,
BanYa                                      ,Pumping Up                                                  ,
BanYa                                      ,Final Audition                                              ,
BanYa                                      ,Extravaganza                                                ,
BanYa                                      ,Ignition Starts                                             ,
BanYa                                      ,Hypnosis                                                    ,
                                           ,                                                            ,
Crayon Pop                                 ,Bar Bar Bar                                                 ,
VIXX                                       ,On and On                                                   ,
AOA                                        ,Elvis                                                       ,
Block B                                    ,Very Good                                                   ,
CNBLUE                                     ,I'm Sorry                                                   ,
Kara                                       ,Pandora                                                     ,
Shinhwa                                    ,Venus                                                       ,
Dal Shabet                                 ,"Hate, Don't Hate"                                          ,
Supreme Team                               ,Super Magic                                                 ,
T-ara                                      ,Sugar Free                                                  ,Pump It Up Prime; cover in Neon FM
Block B                                    ,Her                                                         ,
Apink                                      ,NoNoNo                                                      ,
Outsider                                   ,Loner                                                       ,
Cherry Filter                              ,Flying Duck                                                 ,
Norazo                                     ,Ineffective Boss Without Power                              ,
Epik High                                  ,One                                                         ,
Crash                                      ,Crashday                                                    ,
Vassline                                   ,Dawn of the Apocalypse                                      ,
Louis                                      ,Chung Hwa Ban Jeom                                          ,
Som2                                       ,Deja Vu                                                     ,
Wax                                        ,I'll Give You All My Love                                   ,
Novasonic                                  ,Slam                                                        ,
Tashannie                                  ,Don't Bother Me                                             ,"Pump It Up The O.B.G.: The 3rd Dance Floor, Dance Dance Revolution 3rdMix (Arcade), Pump It Up The Collection, Pump It Up Perfect Collection, Pump It Up Extra, Pump It Up The Premiere, Pump It Up The Prex, Pump It Up The Premiere 2, Pump It Up The Prex 2, Pump It Up The Prex 3, Pump It Up Exceed, Pump It Up Exceed 2, Pump It Up Zero, Pump It Up NX - New Xenesis, Pump It Up NX2 - Next Xenesis, Pump It Up NX Absolute, Pump It Up Fiesta, Pump It Up Fiesta EX, Pump It Up Fiesta 2, Pump It Up Infinity, Pump It Up Prime"
Sechskies                                  ,Com'back                                                    ,
Sechskies                                  ,Mobius Strip                                                ,
Clon                                       ,Funky Tonight                                               ,"Pump It Up: The 1st Dance Floor, Pump It Up The Collection, Pump It Up Perfect Collection, TechnoMotion, TechnoMotion: The 2nd Dance Floor, Pump It Up Extra, Pump It Up The Premiere, Pump It Up The Prex, Pump It Up The Premiere 2, Pump It Up The Prex 2, Pump It Up The Premiere 3, Pump It Up The Prex 3, Pump It Up Exceed, Pump It Up Exceed 2, Pump It Up Zero, Pump It Up NX - New Xenesis, Pump It Up Pro, Pump It Up NX2 - Next Xenesis, Pump It Up NX Absolute, Pump It Up Fiesta, Pump It Up Fiesta EX, Pump It Up Fiesta 2, Pump It Up Infinity, Pump It Up Prime"
Novasonic                                  ,Another Truth                                               ,
Matduke                                    ,Rock the House                                              ,
MAX & DOOM                                 ,The Revolution                                              ,
SID-Sound                                  ,Selfishness                                                 ,"Pump It Up Prime (version 1.03.0+), Pump It Up XX, Pump It Up Phoenix"
SID-Sound                                  ,Cosmic Rhythm                                               ,"Pump It Up Prime, Pump It Up XX, Pump It Up Phoenix"
SID-Sound                                  ,Dolly Kiss                                                  ,"Pump It Up Prime (version 1.07.0+), Pump It Up XX, Pump It Up Phoenix"
Cranky                                     ,Matador                                                     ,
3R2                                        ,Milky Way Galaxy                                            ,
3R2                                        ,Feel My Happiness                                           ,
SynthWulf                                  ,Ragnarok                                                    ,
D_AAN                                      ,Achluoias                                                   ,
Vesuvia x REDSHIFT                         ,Karyawisata                                                 ,
Vospi                                      ,video out c                                                 ,
Zircon                                     ,Across the Ocean                                            ,
Matduke                                    ,Enhanced Reality                                            ,
typeMARS                                   ,Stardust Overdrive                                          ,
Nightmare                                  ,Dream to Nightmare                                          ,
ZiGZaG                                     ,VVV (VerTex³)                                               ,
J-Mi & Midi-D feat. Hanna Stockzell        ,Pop the Track                                               ,
SynthWulf                                  ,Passacaglia                                                 ,
Zircon                                     ,Baroque Virus                                               ,
Ayu Ting Ting                              ,Sik Asik                                                    ,
Saykoji                                    ,Online                                                      ,
Ben Chalatit                               ,Dam                                                         ,
Sugar Eyes                                 ,Sugar Eyes                                                  ,
Affinity                                   ,Monolith                                                    ,
Affinity                                   ,Y2Z                                                         ,
Beltaine                                   ,Rockhill                                                    ,
Celldweller                                ,Switchback                                                  ,Click Here
Coconut                                    ,Ladybug                                                     ,
Diclonius Kid                              ,Hardkore of the North                                       ,
Future Funk Squad                          ,Rippin' It Up                                               ,
Hi-G                                       ,Tribe Attacker                                              ,
Inspector K                                ,Virtual Emotion                                             ,
KaW                                        ,Take Me Back                                                ,
KURi-ZiLL                                  ,RE-RAVE                                                     ,
KURi-ZiLL                                  ,Heel and Toe                                                ,
Sanxion7                                   ,Rainspark                                                   ,
Smiley                                     ,Utopia                                                      ,
Smiley                                     ,Xuxa                                                        ,
Stian K                                    ,Be Alive (Raaban Inc. Mix)                                  ,
Zircon                                     ,Star Command                                                ,
Throwdown                                  ,What Happened                                               ,
Sanxion7                                   ,Gargoyle                                                    ,
DM Ashura                                  ,Allegro con Fuoco                                           ,
DM Ashura                                  ,X-Rave                                                      ,
Vospi                                      ,Smells Like a Chocolate                                     ,
Zircon                                     ,Necromancy                                                  ,
DM Ashura feat. MC Jay & Veronica Almqvist ,Rave Until the Night Is Over                                ,
PXNDX                                      ,Narcisista por Excelencia                                   ,
Nina Pilots                                ,Dieciséis                                                   ,
Big Metra                                  ,Pañuelito Rojo                                              ,
PXNDX                                      ,Procedimientos Para Llegar a un Común Acuerdo               ,
Nina Pilots                                ,Digan lo que Digan                                          ,
Oscillator X                               ,Dance All Night                                             ,
Elpis                                      ,Dance Vibrations                                            ,
ZiGZaG                                     ,Energizer                                                   ,
Bakusute Sotokanda Icchome                 ,Amai Yuuwaku Dangerous                                      ,
Bakusute Sotokanda Icchome                 ,Yoropiku Pikuyoro                                           ,
Sakuzyo                                    ,Imprinting                                                  ,
void                                       ,Sudden Romance (PIU Edit)                                   ,
ETIA.                                      ,Mitotsudaira                                                ,
You                                        ,Smile Diary                                                 ,
Masayoshi Minoshima feat. Nomico           ,Bad Apple!!                                                 ,
TatshMusicCircle                           ,Creed -1st Desire-                                          ,
TatshMusicCircle                           ,Sora no Shibane                                             ,
TatshMusicCircle feat. Sariyajin           ,Four Seasons of Loneliness ver.β                            ,
TatshMusicCircle                           ,"Ai, Yurete..."                                             ,
Last Note.                                 ,Setsuna Trip                                                ,
Last Note.                                 ,Trashy Innocence                                            ,
Last Note.                                 ,After School Stride                                         ,
Tatsh                                      ,Prime                                                       ,
Hitoshizuku P X YamaΔ                      ,Bad♾️End♾️Night                                               ,
ETIA.                                      ,Queen of the Red                                            ,
void                                       ,Idealized Romance                                           ,
void                                       ,Just Hold It (to All Fighters)                              ,
